ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b3200,HBSYI,2022-10-28T06:37:05Z,2022-10-28,2022-10-28T07:11:29Z,2022-10-28,LSGL,LSGL,4b3200_2022-10-28 08:37:05
30083c,IHCBB,2022-10-28T07:35:08Z,2022-10-28,2022-10-28T09:18:16Z,2022-10-28,LIPB,LSGL,30083c_2022-10-28 09:35:08
4b1b16,HBKGS,2022-10-28T08:14:59Z,2022-10-28,2022-10-28T09:05:11Z,2022-10-28,LSZM,LSGL,4b1b16_2022-10-28 10:14:59
4b3200,HBSYI,2022-10-28T08:35:00Z,2022-10-28,2022-10-28T09:16:28Z,2022-10-28,LSGL,LSGL,4b3200_2022-10-28 10:35:00
4b43ad,RGA04,2022-10-28T08:51:10Z,2022-10-28,2022-10-28T09:02:28Z,2022-10-28,LSGL,LSGL,4b43ad_2022-10-28 10:51:10
4b0f56,HBFVA,2022-10-28T08:53:42Z,2022-10-28,2022-10-28T10:52:15Z,2022-10-28,EGTF,LSGL,4b0f56_2022-10-28 10:53:42
391a38,HBOJI,2022-10-28T10:08:48Z,2022-10-28,2022-10-28T10:57:11Z,2022-10-28,LSGL,LSGL,391a38_2022-10-28 12:08:48
4b1af2,HBKFI,2022-10-28T11:28:05Z,2022-10-28,2022-10-28T12:35:58Z,2022-10-28,LSGL,LSGL,4b1af2_2022-10-28 13:28:05
391a38,HBOJI,2022-10-28T12:06:39Z,2022-10-28,2022-10-28T12:49:58Z,2022-10-28,LSGL,LSGL,391a38_2022-10-28 14:06:39
4b43ad,RGA04,2022-10-28T12:08:43Z,2022-10-28,2022-10-28T12:31:06Z,2022-10-28,LSGN,LSGL,4b43ad_2022-10-28 14:08:43
4b2964,HBPRO,2022-10-28T12:21:00Z,2022-10-28,2022-10-28T12:48:26Z,2022-10-28,LSZB,LSGL,4b2964_2022-10-28 14:21:00
4b4414,HBZUI,2022-10-28T13:23:07Z,2022-10-28,2022-10-28T13:33:57Z,2022-10-28,LSGB,LSGL,4b4414_2022-10-28 15:23:07
391a38,HBOJI,2022-10-28T13:33:30Z,2022-10-28,2022-10-28T14:02:01Z,2022-10-28,LSGL,LSGL,391a38_2022-10-28 15:33:30
4d02b7,JFA45M,2022-10-28T13:41:03Z,2022-10-28,2022-10-28T14:52:17Z,2022-10-28,LIRQ,LSGL,4d02b7_2022-10-28 15:41:03
4b1bfd,HBKPP,2022-10-28T13:50:06Z,2022-10-28,2022-10-28T14:04:14Z,2022-10-28,LFLI,LSGL,4b1bfd_2022-10-28 15:50:06
460861,FSF180M,2022-10-28T14:16:06Z,2022-10-28,2022-10-28T14:34:17Z,2022-10-28,LFLP,LSGL,460861_2022-10-28 16:16:06
462dd1,FSF142J,2022-10-28T14:25:21Z,2022-10-28,2022-10-28T15:49:45Z,2022-10-28,LFBH,LSGL,462dd1_2022-10-28 16:25:21
4b1c2b,HBKRJ,2022-10-28T14:25:40Z,2022-10-28,2022-10-28T15:09:22Z,2022-10-28,LSZA,LSGL,4b1c2b_2022-10-28 16:25:40
4b1bdd,HBKOJ,2022-10-28T14:53:51Z,2022-10-28,2022-10-28T15:24:27Z,2022-10-28,LSGE,LSGL,4b1bdd_2022-10-28 16:53:51
4b1af2,HBKFI,2022-10-28T15:15:10Z,2022-10-28,2022-10-28T16:09:36Z,2022-10-28,LSGL,LSGL,4b1af2_2022-10-28 17:15:10
