ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b3200,HBSYI,2022-11-19T08:41:09Z,2022-11-19,2022-11-19T09:12:20Z,2022-11-19,LSGL,4b3200_2022-11-19 09:41:09,LSGL
391a38,HBOJI,2022-11-19T08:51:42Z,2022-11-19,2022-11-19T10:12:26Z,2022-11-19,LSGL,391a38_2022-11-19 09:51:42,LSGL
4b27c0,HBPBK,2022-11-19T09:06:04Z,2022-11-19,2022-11-19T09:23:59Z,2022-11-19,LSGL,4b27c0_2022-11-19 10:06:04,LSGL
4b28e3,HBPMP,2022-11-19T09:38:17Z,2022-11-19,2022-11-19T10:06:54Z,2022-11-19,LSGL,4b28e3_2022-11-19 10:38:17,LSGL
4b27c0,HBPBK,2022-11-19T09:43:55Z,2022-11-19,2022-11-19T10:54:03Z,2022-11-19,LSGL,4b27c0_2022-11-19 10:43:55,LSGL
4b43ad,RGA04,2022-11-19T09:55:00Z,2022-11-19,2022-11-19T10:05:41Z,2022-11-19,LSGL,4b43ad_2022-11-19 10:55:00,LSGL
4b1af2,HBKFI,2022-11-19T10:22:57Z,2022-11-19,2022-11-19T11:01:44Z,2022-11-19,LSGL,4b1af2_2022-11-19 11:22:57,LSGL
462dd1,FSF117K,2022-11-19T10:44:36Z,2022-11-19,2022-11-19T11:09:22Z,2022-11-19,LSGL,462dd1_2022-11-19 11:44:36,LFGJ
4b3200,HBSYI,2022-11-19T11:29:22Z,2022-11-19,2022-11-19T11:54:28Z,2022-11-19,LSGL,4b3200_2022-11-19 12:29:22,LSGL
4b43ad,RGA04,2022-11-19T11:30:19Z,2022-11-19,2022-11-19T11:44:10Z,2022-11-19,LSGL,4b43ad_2022-11-19 12:30:19,LSGB
4b1bdd,HBKOJ,2022-11-19T11:56:52Z,2022-11-19,2022-11-19T12:42:29Z,2022-11-19,LSGL,4b1bdd_2022-11-19 12:56:52,LSZQ
4b1af2,HBKFI,2022-11-19T12:15:34Z,2022-11-19,2022-11-19T12:29:56Z,2022-11-19,LSGL,4b1af2_2022-11-19 13:15:34,LSGL
4b28e3,HBPMP,2022-11-19T13:01:00Z,2022-11-19,2022-11-19T13:19:11Z,2022-11-19,LSGL,4b28e3_2022-11-19 14:01:00,NA
4b1af2,HBKFI,2022-11-19T13:55:06Z,2022-11-19,2022-11-19T14:09:19Z,2022-11-19,LSGL,4b1af2_2022-11-19 14:55:06,LSGY
46316e,FSF317C,2022-11-19T14:01:43Z,2022-11-19,2022-11-19T14:12:27Z,2022-11-19,LSGL,46316e_2022-11-19 15:01:43,NA
391a38,HBOJI,2022-11-19T14:28:43Z,2022-11-19,2022-11-19T15:24:00Z,2022-11-19,LSGL,391a38_2022-11-19 15:28:43,LSGL
4b1af2,HBKFI,2022-11-19T14:33:50Z,2022-11-19,2022-11-19T14:56:46Z,2022-11-19,LSGL,4b1af2_2022-11-19 15:33:50,LSGL
4b1bdd,HBKOJ,2022-11-19T14:54:32Z,2022-11-19,2022-11-19T15:56:06Z,2022-11-19,LSGL,4b1bdd_2022-11-19 15:54:32,LSGL
4b3200,HBSYI,2022-11-19T15:12:42Z,2022-11-19,2022-11-19T15:27:10Z,2022-11-19,LSGL,4b3200_2022-11-19 16:12:42,LSGL
4b43ad,RGA04,2022-11-19T16:59:01Z,2022-11-19,2022-11-19T17:11:19Z,2022-11-19,LSGL,4b43ad_2022-11-19 17:59:01,NA
4b4414,HBZUI,2022-11-19T19:18:18Z,2022-11-19,2022-11-19T19:34:51Z,2022-11-19,LSGL,4b4414_2022-11-19 20:18:18,NA
