ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b43b1,RGA04,2023-02-03T07:13:07Z,2023-02-03,2023-02-03T07:29:08Z,2023-02-03,LSGL,4b43b1_2023-02-03 08:13:07,LSGG
4b1bdd,HBKOJ,2023-02-03T09:15:37Z,2023-02-03,2023-02-03T09:35:11Z,2023-02-03,LSGL,4b1bdd_2023-02-03 10:15:37,LSGE
461fbd,FSF467Y,2023-02-03T10:22:00Z,2023-02-03,2023-02-03T10:51:50Z,2023-02-03,LSGL,461fbd_2023-02-03 11:22:00,LFLS
391a38,HBOJI,2023-02-03T10:36:49Z,2023-02-03,2023-02-03T10:56:42Z,2023-02-03,LSGL,391a38_2023-02-03 11:36:49,LSGY
4b43b1,RGA04,2023-02-03T11:07:30Z,2023-02-03,2023-02-03T11:32:20Z,2023-02-03,LSGL,4b43b1_2023-02-03 12:07:30,LSGN
4b39c9,HBVWZ,2023-02-03T11:15:33Z,2023-02-03,2023-02-03T12:37:51Z,2023-02-03,LSGL,4b39c9_2023-02-03 12:15:33,EGLF
4b1bdd,HBKOJ,2023-02-03T11:21:56Z,2023-02-03,2023-02-03T13:59:12Z,2023-02-03,LSGL,4b1bdd_2023-02-03 12:21:56,LSGL
4b3200,HBSYI,2023-02-03T11:50:11Z,2023-02-03,2023-02-03T12:11:48Z,2023-02-03,LSGL,4b3200_2023-02-03 12:50:11,LSGL
4b4414,HBZUI,2023-02-03T12:00:16Z,2023-02-03,2023-02-03T12:12:17Z,2023-02-03,LSGL,4b4414_2023-02-03 13:00:16,LSGB
461fbd,OHMAN,2023-02-03T13:18:30Z,2023-02-03,2023-02-03T14:12:07Z,2023-02-03,LSGL,461fbd_2023-02-03 14:18:30,LSGL
4b43b1,RGA04,2023-02-03T13:33:39Z,2023-02-03,2023-02-03T13:44:41Z,2023-02-03,LSGL,4b43b1_2023-02-03 14:33:39,LSGP
4b1bfd,HBKPP,2023-02-03T14:22:02Z,2023-02-03,2023-02-03T14:34:44Z,2023-02-03,LSGL,4b1bfd_2023-02-03 15:22:02,LSGK
391a38,HBOJI,2023-02-03T14:51:08Z,2023-02-03,2023-02-03T15:11:24Z,2023-02-03,LSGL,391a38_2023-02-03 15:51:08,LSGE
4b28e3,HBPMP,2023-02-03T15:26:42Z,2023-02-03,2023-02-03T15:37:31Z,2023-02-03,LSGL,4b28e3_2023-02-03 16:26:42,LSGY
4627c1,FSF459G,2023-02-03T15:35:26Z,2023-02-03,2023-02-03T16:39:22Z,2023-02-03,LSGL,4627c1_2023-02-03 16:35:26,EDDM
4b43b1,RGA04,2023-02-03T18:24:30Z,2023-02-03,2023-02-03T18:41:43Z,2023-02-03,LSGL,4b43b1_2023-02-03 19:24:30,NA
