ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
460cb6,FSF707U,2023-03-27T05:23:03Z,2023-03-27,2023-03-27T06:07:05Z,2023-03-27,LFLC,LSGL,460cb6_2023-03-27 07:23:03
4b0f7f,BQA12,2023-03-27T05:42:25Z,2023-03-27,2023-03-27T06:16:54Z,2023-03-27,LSZH,LSGL,4b0f7f_2023-03-27 07:42:25
4b44a5,HBZZX,2023-03-27T08:41:09Z,2023-03-27,2023-03-27T08:51:45Z,2023-03-27,LSGT,LSGL,4b44a5_2023-03-27 10:41:09
4b44a5,HBZZX,2023-03-27T09:11:00Z,2023-03-27,2023-03-27T09:22:28Z,2023-03-27,LSGL,LSGL,4b44a5_2023-03-27 11:11:00
4d0280,JFA16Y,2023-03-27T09:37:35Z,2023-03-27,2023-03-27T10:45:09Z,2023-03-27,NA,LSGL,4d0280_2023-03-27 11:37:35
4b43b1,RGA04,2023-03-27T11:17:31Z,2023-03-27,2023-03-27T11:33:47Z,2023-03-27,LSGG,LSGL,4b43b1_2023-03-27 13:17:31
4627c1,FSF303Y,2023-03-27T11:30:41Z,2023-03-27,2023-03-27T11:48:12Z,2023-03-27,NA,LSGL,4627c1_2023-03-27 13:30:41
4b2964,HBPRO,2023-03-27T12:13:01Z,2023-03-27,2023-03-27T12:30:20Z,2023-03-27,LSGC,LSGL,4b2964_2023-03-27 14:13:01
3b7b3c,DRAGO741,2023-03-27T13:34:11Z,2023-03-27,2023-03-27T13:49:40Z,2023-03-27,LFLI,LSGL,3b7b3c_2023-03-27 15:34:11
4b1bdf,HBKOL,2023-03-27T13:40:12Z,2023-03-27,2023-03-27T14:24:25Z,2023-03-27,LSGL,LSGL,4b1bdf_2023-03-27 15:40:12
4b3200,HBSYI,2023-03-27T14:31:44Z,2023-03-27,2023-03-27T14:53:33Z,2023-03-27,LSGL,LSGL,4b3200_2023-03-27 16:31:44
46316e,FSF697G,2023-03-27T15:17:02Z,2023-03-27,2023-03-27T16:14:13Z,2023-03-27,LOWI,LSGL,46316e_2023-03-27 17:17:02
4b1af2,HBKFI,2023-03-27T15:24:54Z,2023-03-27,2023-03-27T16:06:15Z,2023-03-27,LSGL,LSGL,4b1af2_2023-03-27 17:24:54
4b43b1,RGA04,2023-03-27T16:30:01Z,2023-03-27,2023-03-27T16:41:29Z,2023-03-27,LSGP,LSGL,4b43b1_2023-03-27 18:30:01
