ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b4326,HBZLE,2022-09-10T07:12:33Z,2022-09-10,2022-09-10T08:11:58Z,2022-09-10,LSZM,LSGL,4b4326_2022-09-10 09:12:33
391a38,HBOJI,2022-09-10T07:43:23Z,2022-09-10,2022-09-10T08:00:59Z,2022-09-10,LSGL,LSGL,391a38_2022-09-10 09:43:23
4b1af2,HBKFI,2022-09-10T07:55:58Z,2022-09-10,2022-09-10T08:38:22Z,2022-09-10,LSGL,LSGL,4b1af2_2022-09-10 09:55:58
391a38,HBOJI,2022-09-10T09:15:07Z,2022-09-10,2022-09-10T10:18:29Z,2022-09-10,LSGL,LSGL,391a38_2022-09-10 11:15:07
4b0f89,HBFWZ,2022-09-10T09:20:40Z,2022-09-10,2022-09-10T10:15:45Z,2022-09-10,LFMN,LSGL,4b0f89_2022-09-10 11:20:40
391a38,HBOJI,2022-09-10T11:21:00Z,2022-09-10,2022-09-10T12:17:25Z,2022-09-10,LSGL,LSGL,391a38_2022-09-10 13:21:00
4b3204,HBSYM,2022-09-10T12:45:40Z,2022-09-10,2022-09-10T13:06:43Z,2022-09-10,LSGL,LSGL,4b3204_2022-09-10 14:45:40
391a38,HBOJI,2022-09-10T14:50:01Z,2022-09-10,2022-09-10T15:11:57Z,2022-09-10,LSGL,LSGL,391a38_2022-09-10 16:50:01
46316e,FSF622K,2022-09-10T14:53:41Z,2022-09-10,2022-09-10T16:29:16Z,2022-09-10,ETSI,LSGL,46316e_2022-09-10 16:53:41
4b1af2,HBKFI,2022-09-10T15:52:32Z,2022-09-10,2022-09-10T16:23:35Z,2022-09-10,LSZB,LSGL,4b1af2_2022-09-10 17:52:32
391a38,HBOJI,2022-09-10T15:56:36Z,2022-09-10,2022-09-10T16:19:10Z,2022-09-10,LSGL,LSGL,391a38_2022-09-10 17:56:36
4b43ad,RGA04,2022-09-10T23:45:49Z,2022-09-11,2022-09-11T00:00:47Z,2022-09-11,LSGE,LSGL,4b43ad_2022-09-11 01:45:49
4b43af,RGA03,2022-09-11T03:36:01Z,2022-09-11,2022-09-11T03:50:29Z,2022-09-11,LSGE,LSGL,4b43af_2022-09-11 05:36:01
4b43af,RGA03,2022-09-11T04:42:35Z,2022-09-11,2022-09-11T04:54:44Z,2022-09-11,LSGY,LSGL,4b43af_2022-09-11 06:42:35
4d02af,JFA80H,2022-09-11T06:23:05Z,2022-09-11,2022-09-11T07:20:04Z,2022-09-11,LFPB,LSGL,4d02af_2022-09-11 08:23:05
391a38,HBOJI,2022-09-11T07:54:20Z,2022-09-11,2022-09-11T08:36:57Z,2022-09-11,LSGL,LSGL,391a38_2022-09-11 09:54:20
4d02b7,JFA37M,2022-09-11T09:13:12Z,2022-09-11,2022-09-11T10:03:13Z,2022-09-11,NA,LSGL,4d02b7_2022-09-11 11:13:12
4b3204,HBSYM,2022-09-11T09:25:17Z,2022-09-11,2022-09-11T09:46:02Z,2022-09-11,LSGL,LSGL,4b3204_2022-09-11 11:25:17
4b1af2,HBKFI,2022-09-11T10:12:47Z,2022-09-11,2022-09-11T10:49:51Z,2022-09-11,LSTZ,LSGL,4b1af2_2022-09-11 12:12:47
391a38,HBOJI,2022-09-11T12:12:00Z,2022-09-11,2022-09-11T13:02:17Z,2022-09-11,LSGE,LSGL,391a38_2022-09-11 14:12:00
461fbd,FSF22G,2022-09-11T12:27:42Z,2022-09-11,2022-09-11T14:08:57Z,2022-09-11,EGTF,LSGL,461fbd_2022-09-11 14:27:42
4b28e3,HBPMP,2022-09-11T12:41:05Z,2022-09-11,2022-09-11T13:05:09Z,2022-09-11,NA,LSGL,4b28e3_2022-09-11 14:41:05
46316e,FSF337Y,2022-09-11T13:04:18Z,2022-09-11,2022-09-11T13:49:42Z,2022-09-11,LIML,LSGL,46316e_2022-09-11 15:04:18
46208f,FSF985T,2022-09-11T13:10:33Z,2022-09-11,2022-09-11T14:06:15Z,2022-09-11,LFMN,LSGL,46208f_2022-09-11 15:10:33
4d02fd,LXVAD,2022-09-11T13:18:24Z,2022-09-11,2022-09-11T13:59:17Z,2022-09-11,LFLC,LSGL,4d02fd_2022-09-11 15:18:24
4b1c2b,HBKRJ,2022-09-11T13:26:08Z,2022-09-11,2022-09-11T14:17:58Z,2022-09-11,LSZA,LSGL,4b1c2b_2022-09-11 15:26:08
3d63c0,DFKAI,2022-09-11T13:42:38Z,2022-09-11,2022-09-11T14:42:43Z,2022-09-11,EDFC,LSGL,3d63c0_2022-09-11 15:42:38
4b1af2,HBKFI,2022-09-11T13:53:03Z,2022-09-11,2022-09-11T14:30:44Z,2022-09-11,LSZQ,LSGL,4b1af2_2022-09-11 15:53:03
4b07df,HBCZN,2022-09-11T14:39:03Z,2022-09-11,2022-09-11T16:12:01Z,2022-09-11,LSGL,LSGL,4b07df_2022-09-11 16:39:03
4d02af,JFA19W,2022-09-11T14:39:42Z,2022-09-11,2022-09-11T15:32:16Z,2022-09-11,NA,LSGL,4d02af_2022-09-11 16:39:42
4b1bdd,HBKOJ,2022-09-11T15:11:30Z,2022-09-11,2022-09-11T15:30:22Z,2022-09-11,LFLI,LSGL,4b1bdd_2022-09-11 17:11:30
4d02a4,JFA07J,2022-09-11T15:12:30Z,2022-09-11,2022-09-11T16:48:10Z,2022-09-11,LFIX,LSGL,4d02a4_2022-09-11 17:12:30
4b43ad,RGA04,2022-09-11T15:22:00Z,2022-09-11,2022-09-11T15:36:57Z,2022-09-11,LSGN,LSGL,4b43ad_2022-09-11 17:22:00
4b27c0,HBPBK,2022-09-11T16:20:50Z,2022-09-11,2022-09-11T17:02:17Z,2022-09-11,LSZQ,LSGL,4b27c0_2022-09-11 18:20:50
4b1af2,HBKFI,2022-09-11T16:23:38Z,2022-09-11,2022-09-11T16:58:06Z,2022-09-11,LSGC,LSGL,4b1af2_2022-09-11 18:23:38
461838,FSF627P,2022-09-11T17:05:20Z,2022-09-11,2022-09-11T17:16:32Z,2022-09-11,LFLI,LSGL,461838_2022-09-11 19:05:20
4d02a4,JFA63Q,2022-09-11T17:11:45Z,2022-09-11,2022-09-11T17:27:42Z,2022-09-11,LSGL,LSGL,4d02a4_2022-09-11 19:11:45
4b43ad,RGA04,2022-09-11T17:36:31Z,2022-09-11,2022-09-11T18:35:59Z,2022-09-11,LSGL,LSGL,4b43ad_2022-09-11 19:36:31
4b1af2,HBKFI,2022-09-12T06:56:46Z,2022-09-12,2022-09-12T07:48:52Z,2022-09-12,LSGL,LSGL,4b1af2_2022-09-12 08:56:46
4b2801,HBPDX,2022-09-12T07:29:35Z,2022-09-12,2022-09-12T07:50:40Z,2022-09-12,LSGC,LSGL,4b2801_2022-09-12 09:29:35
4b3204,HBSYM,2022-09-12T08:26:56Z,2022-09-12,2022-09-12T09:12:23Z,2022-09-12,LSGL,LSGL,4b3204_2022-09-12 10:26:56
399c35,FHHBV,2022-09-12T09:38:12Z,2022-09-12,2022-09-12T10:03:23Z,2022-09-12,LFQM,LSGL,399c35_2022-09-12 11:38:12
4b1bdd,HBKOJ,2022-09-12T09:38:43Z,2022-09-12,2022-09-12T11:02:39Z,2022-09-12,LSGL,LSGL,4b1bdd_2022-09-12 11:38:43
461fbd,FSF425Y,2022-09-12T10:21:09Z,2022-09-12,2022-09-12T11:37:37Z,2022-09-12,NA,LSGL,461fbd_2022-09-12 12:21:09
4b2811,HBPEN,2022-09-12T10:35:19Z,2022-09-12,2022-09-12T11:07:49Z,2022-09-12,LSZB,LSGL,4b2811_2022-09-12 12:35:19
461838,FSF967H,2022-09-12T10:37:32Z,2022-09-12,2022-09-12T11:22:37Z,2022-09-12,LFJL,LSGL,461838_2022-09-12 12:37:32
44c06b,OOPCK,2022-09-12T11:49:30Z,2022-09-12,2022-09-12T12:32:40Z,2022-09-12,LIML,LSGL,44c06b_2022-09-12 13:49:30
461108,FSF874W,2022-09-12T13:17:36Z,2022-09-12,2022-09-12T14:43:33Z,2022-09-12,LFBD,LSGL,461108_2022-09-12 15:17:36
461fbd,FSF852X,2022-09-12T13:54:38Z,2022-09-12,2022-09-12T14:30:14Z,2022-09-12,LIMF,LSGL,461fbd_2022-09-12 15:54:38
460aa7,FSF919F,2022-09-12T14:03:30Z,2022-09-12,2022-09-12T14:15:59Z,2022-09-12,LSGG,LSGL,460aa7_2022-09-12 16:03:30
a5fbc5,N485GC,2022-09-12T14:05:06Z,2022-09-12,2022-09-12T16:28:43Z,2022-09-12,EGSU,LSGL,a5fbc5_2022-09-12 16:05:06
4b1bdd,HBKOJ,2022-09-12T14:12:34Z,2022-09-12,2022-09-12T15:03:21Z,2022-09-12,LSZG,LSGL,4b1bdd_2022-09-12 16:12:34
4b1af2,HBKFI,2022-09-12T14:36:35Z,2022-09-12,2022-09-12T15:25:59Z,2022-09-12,LSGL,LSGL,4b1af2_2022-09-12 16:36:35
4b28e3,HBPMP,2022-09-12T16:14:50Z,2022-09-12,2022-09-12T17:03:48Z,2022-09-12,LSGL,LSGL,4b28e3_2022-09-12 18:14:50
4b1af2,HBKFI,2022-09-12T16:21:13Z,2022-09-12,2022-09-12T16:56:14Z,2022-09-12,LSGL,LSGL,4b1af2_2022-09-12 18:21:13
4b2bee,HBQQO,2022-09-12T16:37:30Z,2022-09-12,2022-09-12T16:59:26Z,2022-09-12,LSGL,LSGL,4b2bee_2022-09-12 18:37:30
4b2bef,HBQQP,2022-09-12T16:57:15Z,2022-09-12,2022-09-12T17:24:03Z,2022-09-12,LSGL,LSGL,4b2bef_2022-09-12 18:57:15
4d02c3,JFA99A,2022-09-12T17:16:26Z,2022-09-12,2022-09-12T17:27:47Z,2022-09-12,LSGG,LSGL,4d02c3_2022-09-12 19:16:26
4b1c2b,HBKRJ,2022-09-12T17:20:19Z,2022-09-12,2022-09-12T17:30:42Z,2022-09-12,LSGG,LSGL,4b1c2b_2022-09-12 19:20:19
4b43ad,RGA04,2022-09-12T17:33:34Z,2022-09-12,2022-09-12T17:47:19Z,2022-09-12,LSGT,LSGL,4b43ad_2022-09-12 19:33:34
4b4271,HBZEF,2022-09-13T01:34:11Z,2022-09-13,2022-09-13T01:45:48Z,2022-09-13,LSGB,LSGL,4b4271_2022-09-13 03:34:11
4b40e4,HBYOY,2022-09-13T07:58:21Z,2022-09-13,2022-09-13T08:28:59Z,2022-09-13,LSZG,LSGL,4b40e4_2022-09-13 09:58:21
4d02a5,JFA95Y,2022-09-13T09:55:43Z,2022-09-13,2022-09-13T11:56:36Z,2022-09-13,LOWW,LSGL,4d02a5_2022-09-13 11:55:43
4b26f7,HBOTR,2022-09-13T11:37:10Z,2022-09-13,2022-09-13T12:20:26Z,2022-09-13,LSPL,LSGL,4b26f7_2022-09-13 13:37:10
4b28e3,HBPMP,2022-09-13T12:28:10Z,2022-09-13,2022-09-13T13:35:41Z,2022-09-13,LSPV,LSGL,4b28e3_2022-09-13 14:28:10
461fbd,FSF12N,2022-09-13T12:50:54Z,2022-09-13,2022-09-13T13:32:12Z,2022-09-13,LIML,LSGL,461fbd_2022-09-13 14:50:54
4b1bdd,HBKOJ,2022-09-13T13:08:25Z,2022-09-13,2022-09-13T13:47:12Z,2022-09-13,LSZG,LSGL,4b1bdd_2022-09-13 15:08:25
4b3204,HBSYM,2022-09-13T15:14:55Z,2022-09-13,2022-09-13T15:45:29Z,2022-09-13,LSGL,LSGL,4b3204_2022-09-13 17:14:55
461838,FSF605K,2022-09-13T15:30:42Z,2022-09-13,2022-09-13T16:13:39Z,2022-09-13,LSZR,LSGL,461838_2022-09-13 17:30:42
4b1af2,HBKFI,2022-09-13T16:17:50Z,2022-09-13,2022-09-13T17:07:04Z,2022-09-13,LSGL,LSGL,4b1af2_2022-09-13 18:17:50
4d02a8,JFA78H,2022-09-14T05:54:45Z,2022-09-14,2022-09-14T06:09:37Z,2022-09-14,LSGG,LSGL,4d02a8_2022-09-14 07:54:45
4b4271,HBZEF,2022-09-14T06:06:18Z,2022-09-14,2022-09-14T06:16:58Z,2022-09-14,LSGB,LSGL,4b4271_2022-09-14 08:06:18
4b1af2,HBKFI,2022-09-14T06:10:51Z,2022-09-14,2022-09-14T06:45:55Z,2022-09-14,LSGL,LSGL,4b1af2_2022-09-14 08:10:51
4b1c2b,HBKRJ,2022-09-14T09:50:30Z,2022-09-14,2022-09-14T10:33:03Z,2022-09-14,LSZR,LSGL,4b1c2b_2022-09-14 11:50:30
461838,FSF633W,2022-09-14T11:14:11Z,2022-09-14,2022-09-14T12:15:18Z,2022-09-14,LFPB,LSGL,461838_2022-09-14 13:14:11
461981,FSF972K,2022-09-14T12:22:15Z,2022-09-14,2022-09-14T13:19:01Z,2022-09-14,ELLX,LSGL,461981_2022-09-14 14:22:15
4b1b12,HBKGO,2022-09-14T12:22:45Z,2022-09-14,2022-09-14T13:24:28Z,2022-09-14,LSZB,LSGL,4b1b12_2022-09-14 14:22:45
4d02a8,JFA63Q,2022-09-14T13:56:37Z,2022-09-14,2022-09-14T15:08:57Z,2022-09-14,EDDF,LSGL,4d02a8_2022-09-14 15:56:37
4b1af2,HBKFI,2022-09-14T15:00:34Z,2022-09-14,2022-09-14T15:52:46Z,2022-09-14,LSGL,LSGL,4b1af2_2022-09-14 17:00:34
461fbd,FSF502X,2022-09-14T15:59:01Z,2022-09-14,2022-09-14T16:09:47Z,2022-09-14,LSGK,LSGL,461fbd_2022-09-14 17:59:01
4b43ad,RGA04,2022-09-14T19:20:01Z,2022-09-14,2022-09-14T19:38:15Z,2022-09-14,LSMP,LSGL,4b43ad_2022-09-14 21:20:01
4d02fd,LXVAD,2022-09-15T07:26:07Z,2022-09-15,2022-09-15T08:26:47Z,2022-09-15,LFPB,LSGL,4d02fd_2022-09-15 09:26:07
4b1af2,HBKFI,2022-09-15T08:06:40Z,2022-09-15,2022-09-15T08:37:43Z,2022-09-15,LSGL,LSGL,4b1af2_2022-09-15 10:06:40
4b43ad,RGA04,2022-09-15T09:19:08Z,2022-09-15,2022-09-15T09:31:11Z,2022-09-15,LSGY,LSGL,4b43ad_2022-09-15 11:19:08
4b28e3,HBPMP,2022-09-15T09:31:26Z,2022-09-15,2022-09-15T09:46:36Z,2022-09-15,LSGL,LSGL,4b28e3_2022-09-15 11:31:26
4b1af2,HBKFI,2022-09-15T09:47:55Z,2022-09-15,2022-09-15T10:01:25Z,2022-09-15,LSGL,LSGL,4b1af2_2022-09-15 11:47:55
460861,FSF978W,2022-09-15T10:01:38Z,2022-09-15,2022-09-15T10:42:47Z,2022-09-15,LFMV,LSGL,460861_2022-09-15 12:01:38
4b1b0e,HBKGK,2022-09-15T13:15:54Z,2022-09-15,2022-09-15T14:01:28Z,2022-09-15,LSZB,LSGL,4b1b0e_2022-09-15 15:15:54
4d02d8,JFA62R,2022-09-15T15:32:35Z,2022-09-15,2022-09-15T16:40:06Z,2022-09-15,LFPB,LSGL,4d02d8_2022-09-15 17:32:35
460861,FSF911G,2022-09-15T16:48:49Z,2022-09-15,2022-09-15T17:40:58Z,2022-09-15,LIML,LSGL,460861_2022-09-15 18:48:49
