ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
391a38,HBOJI,2022-10-03T06:37:35Z,2022-10-03,2022-10-03T07:58:48Z,2022-10-03,LSGL,LSGL,391a38_2022-10-03 08:37:35
4b28e3,HBPMP,2022-10-03T07:20:40Z,2022-10-03,2022-10-03T08:14:24Z,2022-10-03,LSGL,LSGL,4b28e3_2022-10-03 09:20:40
4b1af2,HBKFI,2022-10-03T07:27:35Z,2022-10-03,2022-10-03T08:37:21Z,2022-10-03,LSGL,LSGL,4b1af2_2022-10-03 09:27:35
461838,OHJEM,2022-10-03T10:05:59Z,2022-10-03,2022-10-03T10:50:23Z,2022-10-03,LSGL,LSGL,461838_2022-10-03 12:05:59
46316e,FSF783J,2022-10-03T10:47:31Z,2022-10-03,2022-10-03T11:53:59Z,2022-10-03,LSGL,LFPB,46316e_2022-10-03 12:47:31
4b1c2b,HBKRJ,2022-10-03T11:23:29Z,2022-10-03,2022-10-03T14:26:51Z,2022-10-03,LSGL,ESGT,4b1c2b_2022-10-03 13:23:29
4b1bdd,HBKOJ,2022-10-03T12:11:04Z,2022-10-03,2022-10-03T13:09:59Z,2022-10-03,LSGL,LSGL,4b1bdd_2022-10-03 14:11:04
4b43ad,RGA04,2022-10-03T12:14:00Z,2022-10-03,2022-10-03T12:34:49Z,2022-10-03,LSGL,LSGN,4b43ad_2022-10-03 14:14:00
461fbd,FSF437S,2022-10-03T13:37:39Z,2022-10-03,2022-10-03T14:38:52Z,2022-10-03,LSGL,EDFM,461fbd_2022-10-03 15:37:39
4b1af2,HBKFI,2022-10-03T13:40:43Z,2022-10-03,2022-10-03T14:55:29Z,2022-10-03,LSGL,LSGL,4b1af2_2022-10-03 15:40:43
462dd1,FSF323J,2022-10-03T14:44:13Z,2022-10-03,2022-10-03T14:58:06Z,2022-10-03,LSGL,LFLI,462dd1_2022-10-03 16:44:13
a63b7c,N500RW,2022-10-03T15:00:32Z,2022-10-03,2022-10-03T16:17:34Z,2022-10-03,LSGL,EBMB,a63b7c_2022-10-03 17:00:32
4b2ef8,HBSDS,2022-10-03T15:05:52Z,2022-10-03,2022-10-03T15:47:09Z,2022-10-03,LSGL,LSGE,4b2ef8_2022-10-03 17:05:52
4b1bdd,HBKOJ,2022-10-03T15:25:35Z,2022-10-03,2022-10-03T15:54:17Z,2022-10-03,LSGL,LSZB,4b1bdd_2022-10-03 17:25:35
46208f,FSF406C,2022-10-03T15:44:06Z,2022-10-03,2022-10-03T16:12:38Z,2022-10-03,LSGL,LSGG,46208f_2022-10-03 17:44:06
4b43ad,RGA04,2022-10-03T15:46:21Z,2022-10-03,2022-10-03T15:56:42Z,2022-10-03,LSGL,LSGP,4b43ad_2022-10-03 17:46:21
391a38,HBOJI,2022-10-03T15:48:30Z,2022-10-03,2022-10-03T16:35:33Z,2022-10-03,LSGL,LSGL,391a38_2022-10-03 17:48:30
4b43ad,RGA04,2022-10-03T17:47:01Z,2022-10-03,2022-10-03T18:02:23Z,2022-10-03,LSGL,LSGB,4b43ad_2022-10-03 19:47:01
