ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b43ab,RGA03,2022-11-21T00:25:04Z,2022-11-21,2022-11-21T00:43:46Z,2022-11-21,LSGL,4b43ab_2022-11-21 01:25:04,LSZB
391a38,HBOJI,2022-11-21T07:58:12Z,2022-11-21,2022-11-21T09:06:55Z,2022-11-21,LSGL,391a38_2022-11-21 08:58:12,LSGL
4b0f56,HBFVA,2022-11-21T08:00:41Z,2022-11-21,2022-11-21T08:42:29Z,2022-11-21,LSGL,4b0f56_2022-11-21 09:00:41,LSZR
4b1bdd,HBKOJ,2022-11-21T08:24:42Z,2022-11-21,2022-11-21T10:49:23Z,2022-11-21,LSGL,4b1bdd_2022-11-21 09:24:42,LSGL
462dd1,FSF667T,2022-11-21T09:14:03Z,2022-11-21,2022-11-21T09:27:42Z,2022-11-21,LSGL,462dd1_2022-11-21 10:14:03,LFLI
4b28e3,HBPMP,2022-11-21T10:06:11Z,2022-11-21,2022-11-21T10:31:41Z,2022-11-21,LSGL,4b28e3_2022-11-21 11:06:11,LSZQ
4b43ad,RGAQJ,2022-11-21T11:43:47Z,2022-11-21,2022-11-21T12:34:57Z,2022-11-21,LSGL,4b43ad_2022-11-21 12:43:47,LSZH
391a38,HBOJI,2022-11-21T12:28:39Z,2022-11-21,2022-11-21T13:15:57Z,2022-11-21,LSGL,391a38_2022-11-21 13:28:39,LSGL
a68d2a,N521FH,2022-11-21T13:39:33Z,2022-11-21,2022-11-21T14:02:32Z,2022-11-21,LSGL,a68d2a_2022-11-21 14:39:33,LSZG
4b1af2,HBKFI,2022-11-21T14:55:38Z,2022-11-21,2022-11-21T15:08:23Z,2022-11-21,LSGL,4b1af2_2022-11-21 15:55:38,LSGY
4b43b1,RGA04,2022-11-21T17:49:52Z,2022-11-21,2022-11-21T17:58:21Z,2022-11-21,LSGL,4b43b1_2022-11-21 18:49:52,NA
