ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b3200,HBSYI,2023-02-14T07:59:11Z,2023-02-14,2023-02-14T08:32:23Z,2023-02-14,LSGL,LSGL,4b3200_2023-02-14 08:59:11
461fbd,FSF22G,2023-02-14T09:56:04Z,2023-02-14,2023-02-14T10:44:19Z,2023-02-14,LSGL,LIML,461fbd_2023-02-14 10:56:04
4b2650,HBONG,2023-02-14T10:32:21Z,2023-02-14,2023-02-14T11:11:55Z,2023-02-14,LSGL,LSZQ,4b2650_2023-02-14 11:32:21
4b4414,HBZUI,2023-02-14T10:35:45Z,2023-02-14,2023-02-14T10:46:52Z,2023-02-14,LSGL,LSGK,4b4414_2023-02-14 11:35:45
391a38,HBOJI,2023-02-14T11:06:53Z,2023-02-14,2023-02-14T11:50:57Z,2023-02-14,LSGL,LSGL,391a38_2023-02-14 12:06:53
4b43b2,RGA18,2023-02-14T12:40:31Z,2023-02-14,2023-02-14T12:57:25Z,2023-02-14,LSGL,LSGK,4b43b2_2023-02-14 13:40:31
391a38,HBOJI,2023-02-14T13:35:31Z,2023-02-14,2023-02-14T14:57:53Z,2023-02-14,LSGL,LSGL,391a38_2023-02-14 14:35:31
3d31e1,DERDH,2023-02-14T13:50:39Z,2023-02-14,2023-02-14T15:21:35Z,2023-02-14,LSGL,EDLE,3d31e1_2023-02-14 14:50:39
4b1bdd,HBKOJ,2023-02-14T15:06:52Z,2023-02-14,2023-02-14T15:35:52Z,2023-02-14,LSGL,LSGL,4b1bdd_2023-02-14 16:06:52
4b43b2,RGA18,2023-02-14T17:29:11Z,2023-02-14,2023-02-14T17:42:05Z,2023-02-14,LSGL,LSGB,4b43b2_2023-02-14 18:29:11
4b43b1,RGA04,2023-02-14T18:24:00Z,2023-02-14,2023-02-14T18:51:51Z,2023-02-14,LSGL,LSGL,4b43b1_2023-02-14 19:24:00
