ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b43b1,RGA04,2023-04-13T22:34:09Z,2023-04-14,2023-04-13T22:45:28Z,2023-04-14,LSGL,4b43b1_2023-04-14 00:34:09,LSGP
4b43b1,RGA04,2023-04-14T06:50:05Z,2023-04-14,2023-04-14T07:00:18Z,2023-04-14,LSGL,4b43b1_2023-04-14 08:50:05,LSGT
4b2964,HBPRO,2023-04-14T07:00:40Z,2023-04-14,2023-04-14T08:11:23Z,2023-04-14,LSGL,4b2964_2023-04-14 09:00:40,LFMD
4b44a5,HBZZX,2023-04-14T07:04:10Z,2023-04-14,2023-04-14T07:30:16Z,2023-04-14,LSGL,4b44a5_2023-04-14 09:04:10,LSGT
391a38,HBOJI,2023-04-14T07:33:04Z,2023-04-14,2023-04-14T08:34:36Z,2023-04-14,LSGL,391a38_2023-04-14 09:33:04,LSGB
4d02b5,JFA37N,2023-04-14T07:53:47Z,2023-04-14,2023-04-14T10:07:24Z,2023-04-14,LSGL,4d02b5_2023-04-14 09:53:47,EPWR
4b418d,BS100,2023-04-14T08:21:30Z,2023-04-14,2023-04-14T09:34:00Z,2023-04-14,LSGL,4b418d_2023-04-14 10:21:30,LSGL
4b1af2,HBKFI,2023-04-14T08:44:10Z,2023-04-14,2023-04-14T09:40:33Z,2023-04-14,LSGL,4b1af2_2023-04-14 10:44:10,LSGL
4b1bdd,HBKOJ,2023-04-14T08:45:56Z,2023-04-14,2023-04-14T09:36:31Z,2023-04-14,LSGL,4b1bdd_2023-04-14 10:45:56,LSGL
4b28e3,HBPMP,2023-04-14T08:49:10Z,2023-04-14,2023-04-14T09:16:29Z,2023-04-14,LSGL,4b28e3_2023-04-14 10:49:10,LSZQ
461838,FSF350Y,2023-04-14T10:03:35Z,2023-04-14,2023-04-14T10:14:20Z,2023-04-14,LSGL,461838_2023-04-14 12:03:35,LSGB
502cbc,YLMFG,2023-04-14T10:33:53Z,2023-04-14,2023-04-14T11:13:16Z,2023-04-14,LSGL,502cbc_2023-04-14 12:33:53,LSZN
4b3200,HBSYI,2023-04-14T11:48:04Z,2023-04-14,2023-04-14T12:33:32Z,2023-04-14,LSGL,4b3200_2023-04-14 13:48:04,LSGL
4b2830,HBPFS,2023-04-14T12:08:51Z,2023-04-14,2023-04-14T12:41:22Z,2023-04-14,LSGL,4b2830_2023-04-14 14:08:51,LSZW
391a38,HBOJI,2023-04-14T12:21:03Z,2023-04-14,2023-04-14T13:06:59Z,2023-04-14,LSGL,391a38_2023-04-14 14:21:03,LSGL
4b2ee5,HBRTT,2023-04-14T12:34:34Z,2023-04-14,2023-04-14T13:07:24Z,2023-04-14,LSGL,4b2ee5_2023-04-14 14:34:34,LSZB
4b39c9,HBVWZ,2023-04-14T12:59:52Z,2023-04-14,2023-04-14T13:47:51Z,2023-04-14,LSGL,4b39c9_2023-04-14 14:59:52,LFTZ
4b1af2,HBKFI,2023-04-14T13:12:00Z,2023-04-14,2023-04-14T13:44:55Z,2023-04-14,LSGL,4b1af2_2023-04-14 15:12:00,LSZQ
4b43b1,RGA04,2023-04-14T15:11:13Z,2023-04-14,2023-04-14T15:24:34Z,2023-04-14,LSGL,4b43b1_2023-04-14 17:11:13,LSGE
4b43b1,RGA04,2023-04-14T17:26:00Z,2023-04-14,2023-04-14T17:27:43Z,2023-04-14,LSGL,4b43b1_2023-04-14 19:26:00,NA
