ICAO,IATA,name,city,country,longitude,latitude,altitude
EBCI,CRL,Brussels South Charleroi Airport,NA,BE,4.45382,50.459202,187.1472
EBLG,LGG,Liège Airport,NA,BE,5.443220138549805,50.63740158081055,200.8632
EBMB,NA,Melsbroek Air Base,NA,BE,4.49,50.913,29.8704
EDAZ,QXH,Schönhagen Airport,NA,DE,13.156389,52.203609,39.9288
EDDB,BER,Berlin Brandenburg Airport,NA,DE,13.5225,52.380001,47.8536
EDDF,FRA,Frankfurt am Main Airport,NA,DE,8.570556,50.033333,110.94720000000001
EDDG,FMO,Münster Osnabrück Airport,NA,DE,7.68483018875,52.134601593,48.768
EDDM,MUC,Munich Airport,NA,DE,11.7861,48.353802,453.2376
EDFE,QEF,Frankfurt-Egelsbach Airport,NA,DE,8.645833,49.959999,117.0432
EDFM,MHG,Mannheim-City Airport,NA,DE,8.514167,49.473057,93.8784
EDMA,AGB,Augsburg Airport,NA,DE,10.931667,48.425278,462.0768000000001
EDTM,NA,Mengen-Hohentengen Airport,NA,DE,9.372777938842772,48.05389022827149,554.1264
EDTX,NA,Schwäbisch Hall-Weckrieden Airport,NA,DE,9.781110763549805,49.12444305419922,395.9352
EGHH,BOH,Bournemouth Airport,NA,GB,-1.8424999713897705,50.779998779296875,11.5824
EGKB,BQH,London Biggin Hill Airport,NA,GB,0.0324999988079,51.33079910279999,182.2704
EGLF,FAB,Farnborough Airport,NA,GB,-0.776332974434,51.2757987976,72.5424
EGPN,DND,Dundee Airport,NA,GB,-3.025830030441284,56.45249938964844,5.1816
EGQL,ADX,RAF Leuchars,NA,GB,-2.8684399127960205,56.37289810180664,11.5824
EGTF,NA,Fairoaks Airport,NA,GB,-0.558888971806,51.3480987549,24.384
EHAM,AMS,Amsterdam Airport Schiphol,NA,NL,4.763889789579999,52.3086013794,-3.3528
EKBI,BLL,Billund Airport,NA,DK,9.15178012848,55.7402992249,75.2856
EKCH,CPH,Copenhagen Kastrup Airport,NA,DK,12.656000137329,55.617900848389,5.1816
ESSA,ARN,Stockholm-Arlanda Airport,NA,SE,17.918600082397,59.651901245117,41.7576
LEIB,IBZ,Ibiza Airport,NA,ES,1.3731199502899998,38.8728981018,7.315200000000001
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,NA,ES,-3.56264,40.471926,608.9904
LEVC,VLC,Valencia Airport,NA,ES,-0.481625,39.4893,73.152
LFGJ,DLE,Dole-Tavaux Airport,NA,FR,5.435061,47.042686,196.596
LFKA,NA,Albertville Airport,NA,FR,6.32972,45.627201,314.8584
LFLB,CMF,Chambéry-Savoie Airport,NA,FR,5.880229949951172,45.63809967041016,237.4392
LFLC,CFE,Clermont-Ferrand Auvergne Airport,NA,FR,3.1691699028,45.7867012024,332.232
LFLE,NA,Chambéry-Challes-les-Eaux Airport,NA,FR,5.975759983060001,45.5611000061,296.5704
LFLP,NCY,Annecy-Haute-Savoie-Mont Blanc Airport,NA,FR,6.1063889,45.9308333,463.6008000000001
LFLV,VHY,Vichy-Charmeil Airport,NA,FR,3.4037399291992188,46.169700622558594,249.0216
LFLY,LYN,Lyon-Bron Airport,NA,FR,4.944270133972168,45.72719955444336,200.8632
LFMC,NA,Le Luc-Le Cannet Airport,NA,FR,6.387139797210693,43.38470077514648,80.772
LFMD,CEQ,Cannes-Mandelieu Airport,NA,FR,6.953479766845703,43.54199981689453,3.9624
LFMN,NCE,Nice-Côte d'Azur Airport,NA,FR,7.215869903560001,43.6584014893,3.6576
LFMQ,CTT,Le Castellet Airport,NA,FR,5.785190105438232,43.252498626708984,423.9768
LFPB,LBG,Paris-Le Bourget Airport,NA,FR,2.441390037536621,48.96939849853515,66.4464
LFQH,NA,Châtillon Sur Seine Airfield,NA,FR,4.580045,47.843924,275.844
LFQM,NA,Besançon-La Vèze Airport,NA,FR,6.083681,47.2066,387.4008
LFRD,DNR,Dinard-Pleurtuit-Saint-Malo Airport,NA,FR,-2.0799601078033447,48.58769989013672,66.7512
LFRS,NTE,Nantes Atlantique Airport,NA,FR,-1.61073005199,47.153198242200006,27.432000000000002
LFTH,TLN,Toulon-Hyères Airport,NA,FR,6.14602994919,43.0973014832,2.1336
LFTZ,LTT,La Môle Airport,NA,FR,6.48199987411499,43.20539855957031,17.9832
LGAV,ATH,Eleftherios Venizelos International Airport,NA,GR,23.9444999695,37.9364013672,93.8784
LIDT,NA,Trento-Mattarello Airport,NA,IT,11.1242,46.0214,185.928
LIMB,NA,Milano-Bresso Airfield,NA,IT,9.20333,45.542198,147.5232
LIME,BGY,Il Caravaggio International Airport,NA,IT,9.70417,45.673901,238.3536
LIML,LIN,Milano Linate Airport,NA,IT,9.27674,45.445099,107.5944
LIPB,BZO,Bolzano Airport,NA,IT,11.3264,46.460201,240.4872
LIRZ,PEG,Perugia San Francesco d'Assisi – Umbria International Airport,NA,IT,12.5132,43.095901,212.4456
LKTB,BRQ,Brno-Tu?any Airport,NA,CZ,16.694400787353516,49.15129852294922,237.1344
LOAN,NA,Wiener Neustadt East Airport,NA,AT,16.260099411010742,47.843299865722656,273.1008
LOWI,INN,Innsbruck Airport,NA,AT,11.344,47.260201,581.2536
LOWS,SZG,Salzburg Airport,NA,AT,13.0043001175,47.7933006287,430.0728
LOWW,VIE,Vienna International Airport,NA,AT,16.569700241089,48.110298156738,182.88
LPPR,OPO,Francisco de Sá Carneiro Airport,NA,PT,-8.68138980865,41.2481002808,69.4944
LRBS,BBU,B?neasa International Airport,NA,RO,26.102100372314453,44.50320053100586,90.5256
LSGB,NA,Bex Airport,NA,CH,6.986390113830566,46.25830078125,399.8976
LSGC,NA,Les Eplatures Airport,NA,CH,6.792840003970001,47.0839004517,1026.5664000000002
LSGE,NA,Ecuvillens Airport,NA,CH,7.076109886169434,46.755001068115234,698.9064000000001
LSGG,GVA,Geneva Cointrin International Airport,NA,CH,6.108950138092041,46.23809814453125,430.0728
LSGK,NA,Saanen Airport,NA,CH,7.25083017349,46.4874992371,1007.9736
LSGL,QLS,Lausanne-Blécherette Airport,NA,CH,6.61667013168,46.54529953,622.0968
LSGN,QNC,Neuchatel Airport,NA,CH,6.86471986771,46.9575004578,434.9496
LSGP,NA,La Côte Airport,NA,CH,6.258059978485107,46.40639877319336,412.0896
LSGS,SIR,Sion Airport,NA,CH,7.326759815220001,46.2196006775,483.108
LSGT,NA,Gruyeres Airport,NA,CH,7.09443998336792,46.594200134277344,687.9336000000001
LSGY,NA,Yverdon-les-Bains Airport,NA,CH,6.61332988739,46.7619018555,433.1208
LSMA,NA,Alpnach Air Base,NA,CH,8.28417,46.943901,445.008
LSMD,NA,Dübendorf Air Base,NA,CH,8.648229599,47.398601532,448.056
LSMF,NA,Mollis Airport,NA,CH,9.06482982635498,47.07889938354492,452.628
LSMM,NA,Meiringen Airport,NA,CH,8.109999656677246,46.74330139160156,577.596
LSMP,NA,Payerne Air Base,NA,CH,6.91506004333,46.8432,446.532
LSPL,NA,Langenthal Airport,NA,CH,7.741390228271484,47.18280029296875,480.06
LSPV,NA,Wangen-Lachen Airport,NA,CH,8.8675,47.2047,406.908
LSTO,NA,Motiers Airport,NA,CH,6.614999771118164,46.91669845581055,732.1296
LSTR,NA,Montricher Airport,NA,CH,6.400559902191162,46.590301513671875,663.8544
LSTS,NA,St Stephan Airport,NA,CH,7.412569999694824,46.49739837646485,1007.0592
LSTZ,NA,Zweisimmen Airport,NA,CH,7.380559921264648,46.5525016784668,935.1264
LSZA,LUG,Lugano Airport,NA,CH,8.9105796814,46.00429916379999,278.892
LSZB,BRN,Bern Belp Airport,NA,CH,7.497149944309999,46.914100647,510.2352
LSZC,BXO,Buochs Airport,NA,CH,8.396944,46.974444,449.58
LSZF,NA,Birrfeld Airport,NA,CH,8.23361,47.443600000000004,396.24
LSZG,ZHI,Grenchen Airport,NA,CH,7.41719,47.181599,430.0728
LSZH,ZRH,Zürich Airport,NA,CH,8.54917,47.464699,431.5968
LSZN,NA,Hausen am Albis Airport,NA,CH,8.515560150146484,47.23860168457031,587.6544
LSZO,NA,Luzern-Beromunster Airport,NA,CH,8.204719543457031,47.189998626708984,654.1008
LSZP,NA,Biel-Kappelen Airport,NA,CH,7.289999961853027,47.08919906616211,437.99760000000003
LTFJ,SAW,Sabiha Gökçen International Airport,NA,TR,29.3092002869,40.898601532,95.0976
LTFM,IST,Istanbul Airport,NA,TR,28.741951,41.261297,99.06
