ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
46316e,FSF852H,2023-03-09T07:16:04Z,2023-03-09,2023-03-09T07:30:24Z,2023-03-09,LSMP,LSGL,46316e_2023-03-09 08:16:04
461981,FSF690T,2023-03-09T07:57:25Z,2023-03-09,2023-03-09T08:10:45Z,2023-03-09,LSGG,LSGL,461981_2023-03-09 08:57:25
4b43b1,RGA04,2023-03-09T08:20:20Z,2023-03-09,2023-03-09T08:44:19Z,2023-03-09,LSGE,LSGL,4b43b1_2023-03-09 09:20:20
a7ec6e,N61AJ,2023-03-09T10:49:43Z,2023-03-09,2023-03-09T12:53:12Z,2023-03-09,EHRD,LSGL,a7ec6e_2023-03-09 11:49:43
4b1baf,HBKMP,2023-03-09T11:15:38Z,2023-03-09,2023-03-09T11:39:50Z,2023-03-09,LSZB,LSGL,4b1baf_2023-03-09 12:15:38
391a38,HBOJI,2023-03-09T12:58:54Z,2023-03-09,2023-03-09T13:33:37Z,2023-03-09,LSGL,LSGL,391a38_2023-03-09 13:58:54
4d02a4,JFA97Y,2023-03-09T13:49:46Z,2023-03-09,2023-03-09T16:18:52Z,2023-03-09,LEMP,LSGL,4d02a4_2023-03-09 14:49:46
39ad63,FHLLD,2023-03-09T14:14:08Z,2023-03-09,2023-03-09T14:34:41Z,2023-03-09,NA,LSGL,39ad63_2023-03-09 15:14:08
4d02de,JFA32K,2023-03-09T15:42:25Z,2023-03-09,2023-03-09T16:23:59Z,2023-03-09,NA,LSGL,4d02de_2023-03-09 16:42:25
46316e,FSF852H,2023-03-09T16:10:48Z,2023-03-09,2023-03-09T17:02:20Z,2023-03-09,NA,LSGL,46316e_2023-03-09 17:10:48
4b43b1,RGA04,2023-03-09T18:07:37Z,2023-03-09,2023-03-09T18:26:59Z,2023-03-09,LSMP,LSGL,4b43b1_2023-03-09 19:07:37
4b43b1,RGA04,2023-03-09T20:12:00Z,2023-03-09,2023-03-09T20:31:16Z,2023-03-09,LSMP,LSGL,4b43b1_2023-03-09 21:12:00
