ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b32fe,RGAIC,2026-01-17T08:37:35Z,2026-01-17,2026-01-17T09:05:41Z,2026-01-17,LSGL,4b32fe_2026-01-17 09:37:35,NA
46316e,FSF374H,2026-01-17T08:51:12Z,2026-01-17,2026-01-17T09:10:08Z,2026-01-17,LSGL,46316e_2026-01-17 09:51:12,LSZB
4856ed,PHBRA,2026-01-17T09:43:33Z,2026-01-17,2026-01-17T11:24:17Z,2026-01-17,LSGL,4856ed_2026-01-17 10:43:33,EBAW
4b1bdd,HBKOJ,2026-01-17T09:53:18Z,2026-01-17,2026-01-17T10:06:08Z,2026-01-17,LSGL,4b1bdd_2026-01-17 10:53:18,LSGL
4b3302,RGA15,2026-01-17T11:04:41Z,2026-01-17,2026-01-17T11:21:49Z,2026-01-17,LSGL,4b3302_2026-01-17 12:04:41,LSGG
4b4089,HBYLL,2026-01-17T11:32:46Z,2026-01-17,2026-01-17T12:27:18Z,2026-01-17,LSGL,4b4089_2026-01-17 12:32:46,LSZF
4b40c8,HBYNW,2026-01-17T11:39:25Z,2026-01-17,2026-01-17T12:31:21Z,2026-01-17,LSGL,4b40c8_2026-01-17 12:39:25,LSZF
4b25ea,HBOJI,2026-01-17T13:04:40Z,2026-01-17,2026-01-17T14:03:12Z,2026-01-17,LSGL,4b25ea_2026-01-17 14:04:40,LSZB
4b28b1,HBPKR,2026-01-17T13:48:50Z,2026-01-17,2026-01-17T14:55:33Z,2026-01-17,LSGL,4b28b1_2026-01-17 14:48:50,LSZG
4d02de,JFA16S,2026-01-17T14:16:52Z,2026-01-17,2026-01-17T15:30:44Z,2026-01-17,LSGL,4d02de_2026-01-17 15:16:52,NA
4b1bdd,HBKOJ,2026-01-17T14:34:44Z,2026-01-17,2026-01-17T15:17:22Z,2026-01-17,LSGL,4b1bdd_2026-01-17 15:34:44,LSGL
