ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b25ea,HBOJI,2026-03-06T07:52:41Z,2026-03-06,2026-03-06T08:40:45Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 08:52:41
4b32fd,RGA03,2026-03-06T08:01:12Z,2026-03-06,2026-03-06T08:17:42Z,2026-03-06,LSTB,LSGL,4b32fd_2026-03-06 09:01:12
4b25ea,HBOJI,2026-03-06T09:01:33Z,2026-03-06,2026-03-06T09:36:44Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 10:01:33
4b1ba0,HBKMA,2026-03-06T09:46:04Z,2026-03-06,2026-03-06T09:59:27Z,2026-03-06,LSGE,LSGL,4b1ba0_2026-03-06 10:46:04
460812,FSF303A,2026-03-06T10:03:22Z,2026-03-06,2026-03-06T10:58:55Z,2026-03-06,LFTZ,LSGL,460812_2026-03-06 11:03:22
4b25ea,HBOJI,2026-03-06T10:08:22Z,2026-03-06,2026-03-06T10:39:06Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 11:08:22
4b28b1,HBPKR,2026-03-06T10:23:52Z,2026-03-06,2026-03-06T10:46:18Z,2026-03-06,LSGB,LSGL,4b28b1_2026-03-06 11:23:52
4b4126,HBYRM,2026-03-06T12:37:14Z,2026-03-06,2026-03-06T13:14:23Z,2026-03-06,LSZP,LSGL,4b4126_2026-03-06 13:37:14
4b25ea,HBOJI,2026-03-06T12:50:00Z,2026-03-06,2026-03-06T13:27:07Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 13:50:00
4b3302,RGA15,2026-03-06T12:51:54Z,2026-03-06,2026-03-06T13:08:57Z,2026-03-06,LSGG,LSGL,4b3302_2026-03-06 13:51:54
3802fc,FJLRI,2026-03-06T13:24:54Z,2026-03-06,2026-03-06T13:36:56Z,2026-03-06,NA,LSGL,3802fc_2026-03-06 14:24:54
4b1bb6,HBKMW,2026-03-06T13:37:00Z,2026-03-06,2026-03-06T14:42:09Z,2026-03-06,LSZA,LSGL,4b1bb6_2026-03-06 14:37:00
4d02bc,JFA14U,2026-03-06T13:50:00Z,2026-03-06,2026-03-06T15:03:28Z,2026-03-06,EBBR,LSGL,4d02bc_2026-03-06 14:50:00
4b25ea,HBOJI,2026-03-06T14:11:49Z,2026-03-06,2026-03-06T14:43:44Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 15:11:49
4b22ff,HBNGP,2026-03-06T15:09:34Z,2026-03-06,2026-03-06T15:33:13Z,2026-03-06,LSZB,LSGL,4b22ff_2026-03-06 16:09:34
4b25ea,HBOJI,2026-03-06T15:40:38Z,2026-03-06,2026-03-06T16:17:10Z,2026-03-06,LSGL,LSGL,4b25ea_2026-03-06 16:40:38
4d02bf,JFA94N,2026-03-06T15:50:01Z,2026-03-06,2026-03-06T16:04:40Z,2026-03-06,LSGG,LSGL,4d02bf_2026-03-06 16:50:01
4b1af2,HBKFI,2026-03-06T16:34:44Z,2026-03-06,2026-03-06T16:48:59Z,2026-03-06,LSGY,LSGL,4b1af2_2026-03-06 17:34:44
4b1af2,HBKFI,2026-03-06T17:13:44Z,2026-03-06,2026-03-06T17:36:48Z,2026-03-06,LSGL,LSGL,4b1af2_2026-03-06 18:13:44
4b3301,RGA04,2026-03-06T21:29:01Z,2026-03-06,2026-03-06T21:42:40Z,2026-03-06,LSGE,LSGL,4b3301_2026-03-06 22:29:01
