ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b4271,HBZEF,2022-09-21T23:37:50Z,2022-09-22,2022-09-21T23:53:58Z,2022-09-22,LSGL,LSGB,4b4271_2022-09-22 01:37:50
46208f,FSF221U,2022-09-22T06:15:12Z,2022-09-22,2022-09-22T07:15:26Z,2022-09-22,LSGL,EDMO,46208f_2022-09-22 08:15:12
461838,FSF416X,2022-09-22T06:31:03Z,2022-09-22,2022-09-22T07:59:18Z,2022-09-22,LSGL,EDLV,461838_2022-09-22 08:31:03
391a38,HBOJI,2022-09-22T06:33:07Z,2022-09-22,2022-09-22T07:06:24Z,2022-09-22,LSGL,LSZQ,391a38_2022-09-22 08:33:07
460861,FSF357N,2022-09-22T07:01:18Z,2022-09-22,2022-09-22T07:45:20Z,2022-09-22,LSGL,NA,460861_2022-09-22 09:01:18
460861,FSF357N,2022-09-22T07:01:18Z,2022-09-22,2022-09-22T07:45:20Z,2022-09-22,LSGL,NA,460861_2022-09-22 09:01:18
4b43af,RGA03,2022-09-22T07:08:20Z,2022-09-22,2022-09-22T07:29:57Z,2022-09-22,LSGL,LSZB,4b43af_2022-09-22 09:08:20
461108,FSF801P,2022-09-22T07:15:44Z,2022-09-22,2022-09-22T08:14:06Z,2022-09-22,LSGL,LFEF,461108_2022-09-22 09:15:44
4b1bdd,HBKOJ,2022-09-22T07:26:37Z,2022-09-22,2022-09-22T07:39:47Z,2022-09-22,LSGL,LSGL,4b1bdd_2022-09-22 09:26:37
a661a9,N510CH,2022-09-22T08:02:54Z,2022-09-22,2022-09-22T09:55:59Z,2022-09-22,LSGL,LFFK,a661a9_2022-09-22 10:02:54
4b1bdd,HBKOJ,2022-09-22T08:58:34Z,2022-09-22,2022-09-22T09:17:25Z,2022-09-22,LSGL,LSGB,4b1bdd_2022-09-22 10:58:34
4b1b0e,HBKGK,2022-09-22T09:04:37Z,2022-09-22,2022-09-22T09:49:58Z,2022-09-22,LSGL,LSZB,4b1b0e_2022-09-22 11:04:37
4b2ef8,HBSDS,2022-09-22T10:29:33Z,2022-09-22,2022-09-22T10:46:28Z,2022-09-22,LSGL,LSGT,4b2ef8_2022-09-22 12:29:33
4b4271,HBZEF,2022-09-22T10:47:10Z,2022-09-22,2022-09-22T10:58:19Z,2022-09-22,LSGL,LSGB,4b4271_2022-09-22 12:47:10
391a38,HBOJI,2022-09-22T12:10:41Z,2022-09-22,2022-09-22T12:48:58Z,2022-09-22,LSGL,LSGL,391a38_2022-09-22 14:10:41
4b1bdd,HBKOJ,2022-09-22T12:21:52Z,2022-09-22,2022-09-22T12:34:17Z,2022-09-22,LSGL,LSGL,4b1bdd_2022-09-22 14:21:52
4b28e3,HBPMP,2022-09-22T12:44:27Z,2022-09-22,2022-09-22T14:03:09Z,2022-09-22,LSGL,LSGL,4b28e3_2022-09-22 14:44:27
391a38,HBOJI,2022-09-22T13:39:49Z,2022-09-22,2022-09-22T14:14:06Z,2022-09-22,LSGL,LSGL,391a38_2022-09-22 15:39:49
4b43bd,HBZQZ,2022-09-22T14:03:02Z,2022-09-22,2022-09-22T14:50:01Z,2022-09-22,LSGL,LSML,4b43bd_2022-09-22 16:03:02
4b1bdf,HBKOL,2022-09-22T14:38:44Z,2022-09-22,2022-09-22T15:13:50Z,2022-09-22,LSGL,LSZR,4b1bdf_2022-09-22 16:38:44
4b28e3,HBPMP,2022-09-22T14:45:11Z,2022-09-22,2022-09-22T15:51:27Z,2022-09-22,LSGL,LSGL,4b28e3_2022-09-22 16:45:11
4d02ad,JFA61L,2022-09-22T14:53:55Z,2022-09-22,2022-09-22T17:11:46Z,2022-09-22,LSGL,EDHK,4d02ad_2022-09-22 16:53:55
4b1b11,HBKGN,2022-09-22T15:29:36Z,2022-09-22,2022-09-22T16:01:15Z,2022-09-22,LSGL,LSZB,4b1b11_2022-09-22 17:29:36
4b43ad,RGA04,2022-09-22T15:32:20Z,2022-09-22,2022-09-22T15:53:59Z,2022-09-22,LSGL,LSMP,4b43ad_2022-09-22 17:32:20
4b3200,HBSYI,2022-09-22T15:33:21Z,2022-09-22,2022-09-22T15:54:39Z,2022-09-22,LSGL,LSGL,4b3200_2022-09-22 17:33:21
4b2ef8,HBSDS,2022-09-22T17:06:12Z,2022-09-22,2022-09-22T17:21:57Z,2022-09-22,LSGL,LSGE,4b2ef8_2022-09-22 19:06:12
4b43af,RGA03,2022-09-22T17:08:51Z,2022-09-22,2022-09-22T17:31:33Z,2022-09-22,LSGL,LSZB,4b43af_2022-09-22 19:08:51
