ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b4271,AGV01,2026-02-24T00:31:09Z,2026-02-24,2026-02-24T00:42:26Z,2026-02-24,LSGL,4b4271_2026-02-24 01:31:09,LSGB
461fbd,OHMAN,2026-02-24T09:08:49Z,2026-02-24,2026-02-24T09:54:13Z,2026-02-24,LSGL,461fbd_2026-02-24 10:08:49,LFGJ
4b3303,RGAIH,2026-02-24T09:31:12Z,2026-02-24,2026-02-24T10:56:25Z,2026-02-24,LSGL,4b3303_2026-02-24 10:31:12,LSZB
4b2650,HBONG,2026-02-24T10:23:59Z,2026-02-24,2026-02-24T11:21:37Z,2026-02-24,LSGL,4b2650_2026-02-24 11:23:59,LSGL
4b1b0e,HBKGK,2026-02-24T10:35:00Z,2026-02-24,2026-02-24T11:02:15Z,2026-02-24,LSGL,4b1b0e_2026-02-24 11:35:00,LSZB
460844,FSF457A,2026-02-24T11:05:53Z,2026-02-24,2026-02-24T12:07:24Z,2026-02-24,LSGL,460844_2026-02-24 12:05:53,LFML
4b0e59,HBFLH,2026-02-24T12:11:48Z,2026-02-24,2026-02-24T12:26:47Z,2026-02-24,LSGL,4b0e59_2026-02-24 13:11:48,LSGK
4b28b1,HBPKR,2026-02-24T12:15:14Z,2026-02-24,2026-02-24T12:43:57Z,2026-02-24,LSGL,4b28b1_2026-02-24 13:15:14,LSGS
4b1c04,HBKPW,2026-02-24T12:39:32Z,2026-02-24,2026-02-24T13:33:20Z,2026-02-24,LSGL,4b1c04_2026-02-24 13:39:32,LSZA
4b3303,RGA04,2026-02-24T13:58:02Z,2026-02-24,2026-02-24T14:18:46Z,2026-02-24,LSGL,4b3303_2026-02-24 14:58:02,LSTO
4b23e0,HBNPG,2026-02-24T15:30:35Z,2026-02-24,2026-02-24T16:38:50Z,2026-02-24,LSGL,4b23e0_2026-02-24 16:30:35,LSGE
463fc8,FSF426Z,2026-02-24T16:35:05Z,2026-02-24,2026-02-24T17:55:03Z,2026-02-24,LSGL,463fc8_2026-02-24 17:35:05,EBAW
4b3303,RGA04,2026-02-24T22:17:09Z,2026-02-24,2026-02-24T22:19:19Z,2026-02-24,LSGL,4b3303_2026-02-24 23:17:09,NA
