ICAO24,longitude,latitude,requested_time,geo_altitude,velocity,special_purpose_indicator,origin_country,id,arrival_date,departure_date
4627c1,6.6171,46.5489,1764230453,NA,45.34,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,6.5016,46.631,1764230633,2133.6,85.05,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,6.3131,46.7188,1764230813,3482.34,103.73,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,6.1124,46.8116,1764230993,4823.46,102.3,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,5.9316,46.9327,1764231173,5547.36,125.14,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,5.7179,47.0809,1764231353,5554.98,129.87,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,5.5004,47.2302,1764231533,5562.6,129.5,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,5.284,47.3775,1764231713,5562.6,127.32,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,5.0707,47.5217,1764231893,5570.22,126.59,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,4.8578,47.664,1764232073,5577.84,124.05,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,4.6444,47.8052,1764232253,5585.46,125.5,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,4.4264,47.9484,1764232433,5585.46,127.33,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,4.1916,48.1012,1764232613,4770.12,140.07,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,3.9473,48.2589,1764232793,4046.22,136.08,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,3.7229,48.4021,1764232973,3314.7,129.52,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,3.4957,48.5462,1764233153,2407.92,127.71,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,3.3425,48.6922,1764233333,2225.04,118.01,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,3.1963,48.869,1764233513,1508.76,121.72,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,2.9683,48.9999,1764233693,960.12,107.18,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
4627c1,2.7031,48.9789,1764233873,647.7,104.84,FALSE,NA,4627c1_2025-11-27 09:00:53,2025-11-27,2025-11-27
46097d,6.6167,46.5474,1764233890,693.42,45.27,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,6.533,46.631,1764234070,1988.82,92.03,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,6.3244,46.6284,1764234250,3726.18,106.47,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,6.055,46.715,1764234430,3688.08,138.06,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.7697,46.8167,1764234610,2537.46,117.8,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.5477,46.8948,1764234790,2019.3,102.39,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.3537,46.8933,1764234970,1242.06,85.65,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.1938,46.8787,1764235150,1242.06,77.39,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.2682,46.9607,1764235330,914.4,71.52,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.4036,47.0275,1764235510,464.82,63.81,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.3424,46.9875,1764235690,944.88,82.49,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.2684,46.9553,1764235870,944.88,75.05,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.2794,46.9333,1764236050,944.88,83.86,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.2999,46.9763,1764236230,830.58,54.24,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
46097d,5.4027,47.0268,1764236410,320.04,54.54,FALSE,NA,46097d_2025-11-27 09:58:10,2025-11-27,2025-11-27
4b25ea,6.6166,46.5445,1764236484,670.56,29.91,FALSE,NA,4b25ea_2025-11-27 10:41:24,2025-11-27,2025-11-27
